[2017-03-09 21:55:57,426] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
[2017-03-09 21:55:57,426] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
[2017-03-09 21:55:57,428] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
[2017-03-09 21:55:57,428] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17641
[2017-03-09 21:55:57,438] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,441] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,441] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,443] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,443] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,446] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,446] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17642
[2017-03-09 21:55:57,456] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,459] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,459] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,462] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,462] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,464] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,464] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17643
[2017-03-09 21:55:57,473] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,476] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,476] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,478] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,478] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,481] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,481] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17644
[2017-03-09 21:55:57,491] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,493] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,493] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,495] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,496] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,498] INFO: get cached response for URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,498] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17645
[2017-03-09 21:55:57,508] INFO: nsi.get_object_by_id: URL: http://127.0.0.1:31780/polyana-nsi-ws/nsi/api/employee/17646
